l = 20,N = 30,G = 50,Pm = 0.033,Pc = 0

Average Fitness,Best Fitness,Correct Bits
Run 1
0.7076888742135593,0.7076888742135592,12
0.34802354922030626,0.34802354922030637,12
0.17246461836156818,0.17246461836156815,7
2.5132077652259567e-06,2.5132077652259567e-06,11
0.01899093181131644,0.018990931811316444,10
0.0020790190310324354,0.0020790190310324363,10
2.123472480059106e-06,2.1234724800591066e-06,10
0.10752813764473458,0.10752813764473461,11
0.2743641736365092,0.2743641736365094,10
5.387682920562435e-07,5.387682920562437e-07,8
0.01192684584119748,0.011926845841197483,9
0.0012153480460531734,0.001215348046053174,10
0.02784329685704167,0.027843296857041656,10
1.2091169470597165e-08,1.2091169470597172e-08,12
0.4941487163460629,0.4941487163460631,13
5.743610339811664e-07,5.743610339811663e-07,9
1.6640253171329285e-05,1.664025317132929e-05,10
4.371722998078502e-07,4.3717229980784986e-07,13
0.2547356064953956,0.2547356064953957,10
0.0816940157910868,0.08169401579108676,11
7.287127031077315e-09,7.287127031077317e-09,10
4.504600781163238e-14,4.504600781163236e-14,11
0.00022094293657114674,0.0002209429365711466,8
0.17514792974174667,0.17514792974174676,9
0.0028615223275031813,0.002861522327503179,11
0.09520291577529562,0.09520291577529562,12
0.00011232834011323326,0.00011232834011323331,11
0.003149130095866689,0.003149130095866688,8
1.9265261810174664e-09,1.9265261810174656e-09,13
0.05546576547897565,0.05546576547897567,11
0.6288603723263492,0.628860372326349,14
0.002744950465963347,0.0027449504659633455,13
0.19078786530914643,0.19078786530914651,13
0.2978285544910282,0.2978285544910282,9
0.0003257962662704896,0.0003257962662704894,8
8.380485771252627e-05,8.380485771252627e-05,13
0.0009108242193298497,0.0009108242193298495,6
2.650059106754293e-18,2.6500591067542936e-18,9
0.1327590339000183,0.13275903390001825,14
0.9168714975451603,0.9168714975451608,12
0.11865353157566402,0.11865353157566397,9
0.00219423248039345,0.002194232480393448,8
2.896316525226179e-23,2.89631652522618e-23,13
0.00021399286330168232,0.00021399286330168218,12

Run 4
0.13102075604057567,0.8977806643260834,9
0.2267098897780478,0.8355745109057094,13
0.01974596066197528,0.043152043245241585,12
0.0250650562634691,0.043628872895367383,10
3.312937909873162e-08,3.312937909873161e-08,11
4.0761102202600923e-10,4.0761102202600897e-10,7
0.3783449651779503,0.37834496517795035,12
0.13711060024416402,0.13711060024416405,11
0.1352983711072978,0.13529837110729775,8
0.00483367096608252,0.004833670966082521,10
2.8570219982837695e-07,2.85702199828377e-07,7
